Time,CPU (%),Memory (%),Disk (%)
13:14:38,1.0,64.4,87.9
13:14:39,1.0,64.4,87.9
13:14:40,0.5,64.4,87.9
13:14:41,1.0,64.4,87.9
13:14:42,1.0,64.4,87.9
13:14:43,0.5,64.4,87.9
13:14:44,1.5,64.4,87.9
13:14:45,1.0,64.4,87.9
13:14:46,0.5,64.4,87.9
13:14:47,0.0,64.4,87.9
13:14:48,1.0,64.4,87.9
13:14:49,0.5,64.4,87.9
13:14:50,0.5,64.4,87.9
13:14:51,1.0,64.4,87.9
13:14:52,0.5,64.4,87.9
13:14:53,0.5,64.4,87.9
13:14:54,0.5,64.4,87.9
13:14:55,1.0,64.4,87.9
13:14:56,0.0,64.4,87.9
13:14:57,1.0,64.4,87.9
13:14:58,1.5,64.4,87.9
13:14:59,0.5,64.4,87.9
13:15:00,1.0,64.4,87.9
13:15:01,0.5,64.4,87.9
13:15:02,1.0,64.4,87.9
13:15:03,1.6,64.4,87.9
13:15:04,0.5,64.4,87.9
13:15:05,0.5,64.4,87.9
13:15:06,1.0,64.4,87.9
13:15:07,0.5,64.4,87.9
13:15:08,1.0,64.4,87.9
13:15:09,3.2,64.7,87.9
13:15:10,1.0,64.5,87.9
13:15:11,0.5,64.5,87.9
13:15:12,2.1,64.5,87.9
13:15:13,10.9,64.5,87.9
13:15:14,17.1,64.5,87.9
13:15:15,2.0,64.5,87.9
13:15:16,1.5,64.5,87.9
13:15:17,5.7,64.5,87.9
13:15:18,1.5,64.5,87.9
13:15:19,4.7,64.5,87.9
13:15:20,1.5,64.5,87.9
13:15:21,9.4,64.5,87.9
13:15:22,8.4,64.5,87.9
13:15:23,2.6,64.5,87.9
13:15:24,15.1,64.5,87.9
13:15:25,5.3,64.5,87.9
13:15:26,7.3,64.5,87.9
13:15:27,1.5,64.5,87.9
13:15:28,6.8,64.5,87.9
13:15:29,3.6,64.5,87.9
13:15:30,5.7,64.5,87.9
13:15:31,2.1,64.5,87.9
13:15:32,6.3,64.5,87.9
13:15:33,9.9,64.5,87.9
13:15:34,1.5,64.5,87.9
13:15:35,0.5,64.5,87.9
13:15:36,1.5,64.5,87.9
13:15:37,10.2,65.2,87.9
13:15:38,2.0,65.2,87.9
13:15:39,8.3,65.3,87.9
13:15:40,2.1,65.3,87.9
13:15:41,0.0,65.3,87.9
13:15:42,30.9,65.5,87.9
13:15:43,100.0,65.5,87.9
13:15:44,100.0,66.0,87.9
13:15:46,100.0,65.9,87.9
13:15:47,98.0,65.9,87.9
13:15:48,94.3,66.0,87.9
13:15:49,100.0,66.0,87.9
13:15:50,89.3,66.0,87.9
13:15:52,100.0,66.0,87.9
13:15:53,100.0,66.0,87.9
13:15:54,96.2,66.0,87.9
